,index,date,description
31,185,2023-12-24 04:49:32,"Bilawal Bhutto-Zardari said that the cipher case was a very serious matter and demanded a thorough investigation. The cipher case pertains to a piece of paper that Imran had waved at a public rally on March 27, 2022, ahead of a vote of confidence. The former prime minister, later naming the US, had claimed the cipher was “evidence” of an “international conspiracy” to topple his government."
32,194,2023-12-24 05:07:28,"Police in Germany and Austria increase security at Christmas events. Police say they are concerned about possible terror attacks on Christmas Eve and New Year’s Day. Police are also looking for any suspicious vehicles or suspicious people in the streets. The German government has also increased security in public places, including schools."
33,32,2023-12-24 05:18:23,"The incident comes as the latest illustration of the growing regional tensions after the October 7 Hamas attacks on Israel. An India-bound merchant vessel, MV Chem Pluto, with 20 Indian and one Vietnamese crew member on Saturday caught fire after it was attacked by a suspected drone. The Indian Coast Guard Maritime Coordination Centre (MRCC) ascertained no loss of life and assured all assistance."
34,211,2023-12-24 06:28:10,"Pakistan's Supreme Court office has returned an appeal seeking to set aside the three-year conviction of former prime minister Imran Khan in the Toshakhana corruption case. The petition was filed with a plea to overturn the August 5 conviction of Khan by an additional sessions judge of the IHC. The registrar's office, however, returned the appeal with observations that the same was suffering from several deficiencies."
35,221,2023-12-24 06:45:55,Warring factions in Yemen have pledged to maintain a fresh truce and participate in a peace process overseen by the UN. This follows a nine-year conflict with immense human costs and a humanitarian crisis. A previous UN-mediated truce in 2022 halted most fighting but expired in October. The deal was reached in response to the Houthi rebels’ furious strikes on vital Red Sea shipping lines.
36,58,2023-12-24 07:18:00,U.S. President Joe Biden did not call for a Gaza ceasefire in his latest conversation with Israeli Prime Minister Benjamin Netanyahu. The leaders discussed Israel’s military campaign in Gaza to include its objectives and phasing. They agreed to remain in regular consultation both directly and through their respective national security teams.
37,80,2023-12-24 07:21:05,"2023 was a year of triumphs, trials, and tribulations for the global financial markets. Bitcoin, the digital currency that has disrupted financial norms, saw a remarkable 160% increase in 2023. A major AI trade played a crucial role in providing stability to the stock market during times of turbulence, highlighting the transformative power of technology."
38,12,2023-12-24 08:34:05,"The question Israel is faced with is whether the public and political echelon will give the IDF the time and diplomatic backing it needs to do so. In recent discussions I held with senior IDF commanders and the Air Force, I got a clear impression that the IDF can achieve a decisive outcome in the Strip. However, achieving this will come at heavy losses and will require a considerable amount of time to complete."
39,65,2023-12-24 08:39:00,"Two massive wars had little effect on market gyrations. Greece, the mutilated victim of the Great Financial Crisis, is excelling economically, while politically displaying an image of calm. Portugal’s Prime Minister Antonio Costa had to resign amid corruption allegations, but its economy is doing fine."
40,192,2023-12-24 08:44:13,"Yemen’s warring parties have committed to a new ceasefire and agreed to a UN-led peace process. Announcement by UN special envoy for Yemen, Hans Grundberg, marks the latest step to end the nine-year war that has killed hundreds of thousands of people. Agreement also includes commitments to pay civil servants’ salaries, open routes into the rebel-blockaded city of Taez."
41,204,2023-12-24 09:47:11,"Soldiers find rocket launchers and other weapons in Gaza. At least 1,200 people have been killed by Hamas since the start of the Gaza conflict on October 1. The number of missing is still unknown, as authorities continue to search for bodies and bodies of those who have died."
42,89,2023-12-24 10:02:52,Christmas Eve celebrations in Bethlehem were called off due to the Israel-Hamas war. The festive lights and Christmas tree that normally decorate Manger Square were missing. Dozens of Palestinian security forces patrolled the empty square. The cancellation of Christmas festivities is a severe blow to the town’s economy.
43,116,2023-12-24 15:41:17,"The head of the Catholic Church in India on Christmas eve called for prayers for war-torn regions of the world, including Manipur in the country.Ethnic violence has raged in the northeastern Indian state of Manipur since May 3. The prelate wants the “collective prayers” to become a beacon of hope and healing for those enduring the harsh realities of conflict."
44,90,2023-12-24 15:43:31,A Palestinian delegation has arrived in Cairo for talks with Egyptian officials. The talks are expected to focus on ways to end the Israeli offensive in the Gaza Strip. Egypt has played a key role in mediating between Israel and the Palestinians in the past. The negotiations could lead to the release of prisoners from the Israeli military.
45,87,2023-12-24 16:36:46,"Palestinian Islamic Jihad (PIJ), an allied group with Hamas, has arrived in Cairo to discuss the ongoing Israeli offensive with Egyptian security officials. The talks are expected to address ways to end Israeli aggression and to halt new prisoner-swap deals with Israel until their military offensive in the Palestinian enclave concludes."
46,142,2023-12-24 17:51:20,"MV Chem Pluto was struck by a one-way attack drone fired from Iran. The incident occurred approximately 200 nautical miles from the coast of India. The Indian Navy has initiated an investigation into the incident, including determining the origin of the strike. The matter is considered sensitive due to the involvement of Iran."
47,154,2023-12-24 17:53:00,Father Majdi Seryani: The Christmas message is that innocent Palestinian lives matter. He says there is no way to re-live the birth of Christ and to unite around it with a dispassionate approach. Father Majdi: This brutal eruption of fatal violence is the result of decades of injustice and neglect.
48,26,2023-12-24 17:53:44,The Houthi assaults on vessels from around the world in the Bab-el-Mandeb strait on the southern end of the Red Sea have pushed up freight and insurance rates and oil prices. The risk of escalating conflict in West Asia is the latest in a string of unpredictable crises that have landed like swipes of a bear claw on the global economy.
49,129,2023-12-24 18:49:06,"At least 70 are killed in central Gaza, in one of the war’s deadliest strikes. The number of Israeli soldiers killed in combat over the weekend rose to 15. The mounting death toll among Israeli troops could erode public support for the war. In neighboring Egypt, tentative efforts continued on a deal for another exchange of hostages."
50,77,2023-12-24 19:16:01,A delegation from the militant group Palestinian Islamic Jihad arrived in Cairo on Sunday for talks. The main focus of the talks will be to find ways to “end the Israeli aggression” on Gaza. PIJ is an ally of Hamas that participated in the Oct. 7 attack and is currently holding hostages from that day.
51,62,2023-12-24 19:26:21,"The IDF announced on Motzei Shabbos that 5 soldiers were killed, and on Sunday morning that an additional 10 were killed and 6 others were seriously injured. The slain soldiers were identified as: Warrant Officer (res.) Alexander Shpits, 41, of the 55th Reserve Paratroopers Brigade’s 6623rd Battalion. Staff Sergeant David Bogdanovskyi, 19, a soldier in the 603rd Engineering Battalion, ‘Saar Megolan’ Unit, killed in battle in Gaza."
52,38,2023-12-24 19:58:20,"The global economic and political arena stands on the precipice of heightened volatility as we move into the next year. Fueling this are ongoing military conflicts, economic uncertainties, and a surge of national elections on the horizon. The U.S. presidential election, in particular, is expected to wield a profound impact, with potential shifts in climate change regulations, trade policies, and international alliances."
53,165,2023-12-24 20:25:00,"Celebrations in the Holy Land have mostly been cancelled in solidarity with the people of Gaza, who are living through the deadliest war ever to engulf the besieged Palestinian territory. A work of art evoking the tragedy of the war has been installed on the ground opposite the Church of the Nativity."
54,59,2023-12-24 21:20:46,Palestinian health officials said air strikes killed at least 78 people on Christmas Eve in one of Gaza’s deadliest nights. Israeli army said it was reviewing the report of a Maghazi incident and was committed to minimising harm to civilians. Hamas denies the Israeli charge that it operates in densely populated areas or uses civilians as human shields.
55,111,2023-12-24 21:37:00,"Pope Francis spoke of the conflict in the Holy Land in his homily. The 87-year-old pontiff presided at a solemn Christmas Eve Mass in St. Peter's Basilica. He urged people not to be obsessed with worldly success and the ""idolatry of consumerism"""
56,68,2023-12-24 22:01:39,"Israeli Prime Minister Benjamin Netanyahu says the Gaza war has come at a ""very heavy price"" for his side. More than a dozen soldiers have been killed in the territory since Friday, bringing the total of the ground assault to 154. Gaza's Hamas-run health ministry says 70 people killed in a strike on a refugee camp on Sunday."
57,121,2023-12-24 22:10:00,"At least 70 people were killed in Gaza in one of the deadliest strikes of the war. The number of Israeli soldiers killed in combat over the weekend rose to 15. The war has devastated parts of Gaza, killed roughly 20,400 Palestinians and displaced almost all of the territory’s 2.3 million people."
58,70,2023-12-24 23:32:07,"A delegation from the Palestinian Islamic Jihad (PIJ), an ally of Hamas, has arrived in Cairo to engage in talks with Egyptian security officials. The discussions are expected to focus on ending Israeli aggression, prisoner-swap deals, and possibly the reconstruction of the Gaza Strip. These talks mark a continuation of Egypt’s historical role as an intermediary in the Israeli-Palestinian conflict."
59,56,2023-12-24 23:49:59,"The strike took place on Sunday night in the Maghazi refugee camp, east of Deir al-Balah. It is one of the deadliest strikes since Israel declared war against Gaza’s Hamas rulers following a deadly cross-border attack by the Islamic militant group. The strike comes on a weekend that has seen more than a dozen Israeli soldiers killed in combat."
60,186,2023-12-24 23:54:14,Pope Francis spoke at a Mass in St. Peter's Square on Christmas Eve. He spoke of the need for unity in the face of the world's problems. He also called on the faithful to help each other in times of need. The Mass took place at 7 p.m. local time.
61,1,2023-12-25 00:00:00,"Usman Khawaja had “Freedom is a human right” and “All lives are equal’ written on his boots in the colours of the Palestinian flag. The Australian cricketer was also reprimanded by the ICC for sporting a black armband, which the batter said was for a personal bereavement. ICC spokesperson said “personal messages of this nature are not allowed as per Clause F of the Clothing and Equipment Regulations’"
62,6,2023-12-25 00:00:00,Israeli Forces-led airstrikes killed at least 68 people in Central Gaza on Sunday. The number of Israeli soldiers killed in combat over the weekend rose to 15. The Israeli military claimed it recovered the bodies of at least five Israeli hostages killed in captivity from an underground tunnel network of Hamas.
63,21,2023-12-25 00:00:00,"Drone attack on a cargo vessel off India's west coast in the Arabian Sea on Saturday was launched from Iran, the Pentagon said. The Indian Navy launched an investigation into the strike ahead of the merchant ship's expected arrival in Mumbai on Monday. A Naval Explosive Ordnance Disposal specialist of the force will be embarking the vessel on arrival at Mumbai to sanitise it and undertake further investigation."
64,29,2023-12-25 00:00:00,"Israel-Hamas war: List of key events, day 80. A Christmas of bloodshed in Gaza amid raids in the occupied West Bank – here the are major updates. Israel and Hamas are locked in a war that has killed more than 2,000 people in Gaza and the West Bank."
65,30,2023-12-25 00:00:00,Three soldiers and two civilians were amongst the five hostages who were abducted on October 7 when Hamas launched a surprise attack on Israel. The bodies have been brought back to Israel. Video footage posted by the IDF on X showed a camera being lowered down into a Hamas tunnel and navigating through the narrow and dark passage of the tunnel.
66,44,2023-12-25 00:00:00,"Early forecasts in Washington, and to some extent in Jerusalem, were that the Biden administration would demand that Israel end the high-intensity phase of the ground offensive against Hamas by the close of the year. Christmas has arrived and the IDF is still fighting on the ground in Gaza. At most the Americans would agree to only a further few weeks of fighting in the current format."
67,67,2023-12-25 00:00:00,"The IDF released footage on Sunday showing what it said was an operation to dismantle Hamas's northern underground headquarters in Gaza. The video showed a section of tunnel lined with white tiles, as well as a similarly designed bathroom. One tunnel had a drinking water dispenser and a pile of bullets. Pope Francis in a Christmas Eve homily said that ""the clash of arms even today"" prevented Jesus ""from finding room in the world"""
68,78,2023-12-25 00:00:00,"Israel said its armed forces were increasingly focused on Hamas targets in south Gaza on Sunday. UN Security Council appealed for more aid for the enclave after weeks of intensive fighting. More than a dozen Israeli soldiers were killed in combat over the weekend, the Israeli military said. Christians held a somber Christmas vigil in Bethlehem in the West Bank on Saturday."
69,82,2023-12-25 00:00:00,"Christmas Eve celebrations in Bethlehem were called off due to the Israel-Hamas war. The cancellation of Christmas festivities was a severe blow to the town’s economy. With many major airlines canceling flights to Israel, few foreigners are visiting. Local officials say over 70 hotels were forced to close, leaving thousands of people unemployed."
70,118,2023-12-25 00:00:00,The Iranian ambassador to the EU is in Baghdad for a meeting on the situation in the Gaza Strip. He says the situation needs to be resolved to ensure the safety of the Palestinian people. He also says the EU needs to play a bigger role in helping the Palestinians in the region.
71,133,2023-12-25 00:00:00,"Pope Francis reiterated his call for peace while leading the traditional Christmas Eve Mass at Saint Peter's Basilica. In Bethlehem, scouts paraded the streets with Palestinian flags in solidarity with the civilians of Gaza. In the Czech Republic, musicians played at Prague's main railway station on Saturday receiving a thunderous ovation."
72,150,2023-12-25 00:00:00,"The operations carried out by the Palestinian and regional resistance groups on December 24, Sunday, are as follows. More than 20,000 Palestinians, mostly children and women, have died in Israel's genocidal war on the Gaza Strip. Israeli positions in Dishon were targeted with missiles."
73,179,2023-12-25 00:00:00,"U.S. claims Iranian drone struck a Japanese-owned tanker in the Indian Ocean. Iran's Foreign Ministry dismisses the claim as 'completely rejected and worthless' Iran says it is not coordinating with the Houthi rebels in Yemen, who have launched attacks on ships in the Red Sea."
74,209,2023-12-25 00:00:00,Cricket's global governing body ICC rejected Usman Khawaja's application to have a sticker showing a black dove holding an olive branch on his bat and shoes during the Boxing Day Test against Pakistan. Australian captain Pat Cummins said he finds no difference between Khawja displaying a dove logo on his shoe and bat to raise awareness of humanitarian issues.
75,224,2023-12-25 00:00:00,"Israel’s war on Gaza has killed more than 20,000 Palestinians, including women and children, destroyed homes and livelihoods, and displaced millions of people. More than half a million people are starving, according to a report from the United Nations and other agencies released on Thursday."
76,244,2023-12-25 00:00:00,"Palestinians said they felt ""no joy"" this Christmas as Israel bombed Gaza on Monday. Festivities effectively scrapped in the occupied West Bank city of Bethlehem, revered as the birthplace of Jesus Christ. Hamas-run ministry of health said early Monday Israeli strikes had killed at least 18 people in the southern city of Khan Yunis."
77,128,2023-12-25 00:41:04,"Since Oct 7, Israel has been doing in Gaza what it has always been doing to the Palestinian people since the Nakba, but in more concentrated fashion. Gaza has become an emblem for the hypocrisy of the ‘international community’ and the complete lack of empathy many of the self-professed global champions of human rights are capable of."
78,110,2023-12-25 01:23:51,"Israeli Prime Minister Benjamin Netanyahu on Sunday conveyed a Christmas message to the global Christian community. “Christmas is supposed to be a time of goodwill to all men and peace on Earth,"" Netanyahu said. Israeli air strike targeted the Maghazi refugee camp in central Gaza on Sunday, resulting in the death of 70 individuals."
79,102,2023-12-25 02:45:08,"Five civilians were killed in attacks by Russia on Ukraine's Kherson region, said officials. One person was killed in the eastern town of Horlivka, said Russian-installed officials. A woman was also killed in a drone attack in a small town south of the city. The attacks affected gas and water supply in the region."
80,159,2023-12-25 02:53:34,"Pope Francis has kicked off global Christmas celebrations with a call for peace. He said: ""Tonight, our hearts are in Bethlehem, where the Prince of Peace is once more rejected by the futile logic of war"" Russia is celebrating Christmas on December 25, jettisoning the traditional Orthodox date of January 7."
81,85,2023-12-25 03:00:47,Palestinian Islamic Jihad representatives have convened in Cairo to engage in dialogue with Egyptian officials. The discussions center on reinstituting a ceasefire in the Gaza Strip and concluding Israeli aggression towards Palestinians in the region. Israel had previously solicited mediation from Egypt and Doha for a prisoner exchange deal connected to a new humanitarian truce.
82,144,2023-12-25 03:02:37,"The North American Aerospace Defense Command (NORAD) keeps a close watch on Santa and his sleigh from the moment he leaves the North Pole. A 3-D, interactive website at www.noradsanta.org showed Santa Claus and his reindeer on their imagined worldwide delivery route, allowing users to click and learn more about the various cities along the way."
83,7,2023-12-25 03:18:39,"Awni Eldous was killed in an Israeli strike on the same day that Hamas gunmen attacked Israel. The strike was sudden and unexpected, with no warning given. Awni’s death reminds us of the devastating impact of conflict on innocent lives, especially on children. He will forever be remembered as a promising Palestinian gamer, whose potential was never fully realized."
84,146,2023-12-25 03:25:12,"Cardinal Pierbattista Pizzaballa is the highest representative of the Catholic Church in Israel, Jordan, the Palestinian territories, and Cyprus. The procession was much smaller than previous years, with some Franciscan monks and a handful of other believers. Tourism accounts for 70% of the West Bank town's economy, most of which is seasonal."
85,73,2023-12-25 03:28:56,"The Israeli Defense Forces on Monday (December 25, 2023) said it recovered the bodies of five hostages who were killed during Hamas captivity. The IDF also released a video of a Hamas tunnel network on the social media platform X. UN Secretary-General António Guterres expressed hope that a Security Council resolution to get more aid into Gaza could pave the way to a humanitarian ceasefire between Israel and Hamas."
86,47,2023-12-25 04:30:09,"Israeli Prime Minister Benjamin Netanyahu has admitted that the war in Gaza is exacting a “heavy price” Netanyahu’s remarks came after the IDF announced that 14 Israeli troops were killed over the weekend during fighting in Gaza. Netanyahu, however, again vowed to continue the war  till Hamas is wiped out."
87,2,2023-12-25 04:39:10,"Palestinians say they feel ""no joy"" this Christmas as Israel bombed the besieged Palestinian territory. Festivities effectively scrapped in the occupied West Bank city of Bethlehem, revered as the birthplace of Jesus Christ. Hamas militant group reported 50 strikes in central areas early on Monday, including in the Nuseirat refugee camp."
88,115,2023-12-25 04:44:19,"""Christmas is supposed to be a time of goodwill to all men and peace on Earth,"" he said. ""We're facing monsters who murdered children in front of their parents,"" he added. ""As we stand together, we will also prevail,"" the Prime Minister said."
89,219,2023-12-25 04:47:04,"Australia captain Pat Cummins backs Usman Khawaja's stance on Gaza crisis. Khawja has been denied permission to have a sticker showing a black dove holding an olive branch on his bat and shoes during the second Test against Pakistan. The 36-year-old, a Muslim, was stopped from wearing shoes emblazoned with the hand-written slogans ""All lives are equal"" during the first Test in Perth."
90,20,2023-12-25 04:52:18,North American Aerospace Defense Command (NORAD) continues decades-long tradition of tracking Santa's whereabouts. Interactive website allows users to click and learn more about the various cities along the way. NORAD set up temporary call center out of its Colorado headquarters to answer children's burning questions.
91,200,2023-12-25 04:59:44,"""He’s standing up for what he believes"" - Pat Cummins supports Usman Khawaja's stance over humanitarian crisis in Gaza. Cummins reckons there's nothing offensive about it, but admits that rules are to be accepted. Australia won by 360 runs in Perth to take a 1-0 lead in the three-match series."
92,16,2023-12-25 05:00:18,"Bethlehem, in the Israeli-occupied West Bank, is almost deserted this Christmas. Local leaders made the decision to scale back festivities in solidarity with the Palestinian population. More than 20,000 Palestinians have been killed during Israel’s air and ground offensive, according to Hamas-controlled Ministry of Health."
93,69,2023-12-25 05:21:01,"Pope Francis calls for a ceasefire in the Middle East. Christmas celebrations in the West Bank have been called off. Russia is celebrating Christmas on December 25 instead of the traditional date of January 7. Israel says it has killed more than 1,000 Palestinians since the start of the conflict."
94,197,2023-12-25 05:26:27,"Israeli warplanes strike Hezbollah targets in Lebanon, including ""military compounds and terrorist and operational infrastructure"" At least 70 people were killed in an Israeli airstrike targeting Maghazi in central Gaza, health ministry spokesperson Ashraf Al-Qidra said. Houthi official said any country that joins U.S.-led international maritime coalition to protect Red Sea trade will become a target from Yemeni rebels."
95,215,2023-12-25 05:38:57,"Wilfred Scawen Blunt wrote ‘The White Man’s Burden’ in 1899. The anti-imperialist poet argued for a separation of the Hindu and Muslim parts of India, if retaining a common British defence. The poem was a hit in his home colony, at a safe remove from the world wars."
96,100,2023-12-25 05:45:23,"At least 70 people were killed in an Israeli airstrike on Christmas Eve in the Al-Maghazi refugee camp in the centre of Gaza. Hamas-run health ministry said that at least 12 women and seven children were among those killed in a late-night strike. Hamas militants in a statement called the airstrike a ""horrific massacre"" which was a ""new war crime"""
97,76,2023-12-25 06:01:38,"The article did not address how they died, with main military spokesperson Rear Admiral Daniel Hagari stating that post-mortems were forthcoming. The three troops and two civilians were among 240 persons hauled back to Gaza by Hamas terrorists during the October 7 cross-border raid. The military stated earlier this month that their corpses will be returned."
98,37,2023-12-25 06:05:00,Pope Francis calls for a ceasefire between Israel and the Palestinians. Christmas in the West Bank has been called off. Russia is celebrating Christmas on December 25 instead of the traditional date of January 7. The move is seen as a response to the Israeli attack on Gaza on December 7.
99,23,2023-12-25 06:05:27,"A drone launched from Iran struck a chemical tanker in the Indian ocean early on Saturday, the U.S. Department of Defense said. The incident highlights escalating regional tensions and new risk to shipping lanes after the Oct. 7 Hamas attack on Israel. The Iranian government, as well as its allied militant forces in Yemen, have publicly criticized the Israeli government’s military operation in Gaza."
100,15,2023-12-25 06:05:34,"The video showed a section of tunnel lined with white tiles, as well as a similarly designed bathroom. One tunnel had a drinking-water dispenser and a pile of bullets. The video was not able to independently verify the location or the date when the video was filmed."
101,9,2023-12-25 06:05:46,"Cricketer Usman Khawaja was charged with breaching International Cricket Council regulations for wearing a black armband during the first Test match against Pakistan in Perth. West indies bowling great Michael Holding slammed the apex cricket governing body. Holding blasted ICC by terming its actions as ""hypocrisy and lack of moral standing"""
